Miracle Weapon 10x G Tix,2022-03-09
Miracle Armor 10x G Tix,2022-03-09
Grim Reaper G Tix,2022-03-09
Increased MATK!  "Sparkling Celebration gacha" Now Available!,2022-03-04
Step-Up Style "Hina Matsuri Special Gacha" Now Available!,2022-03-02
【March NM Gacha】,2022-03-01
March 2022 Calendar Wallpaper!,2022-02-28
Rose Scented Tea Party Gacha,2022-02-25
Win LR Accessory!? "Traditional Jewelry Gacha" Arrives!,2022-02-23
New Event "The Crime of Chocolate ～Part 2～" Starts!,2022-02-22
MeowMeow Gacha,2022-02-22
『Sweet, Melty Temptation ♡Gacha』,2022-02-22
【Screenshot Contest Results!】January Screenshot Contest Starts!,2022-02-16
Gothic Gacha,2022-02-15
New Event "The Crime of Chocolate～Part 1～" Starts!,2022-02-09
Limited Gem Sets Now Available!,2022-02-09
[2/9 18:00 Update] Maintenance Notice [End],2022-02-09
Dark Night's Raven Tix,2022-02-09
Valentine's Day Limited "Valentine Gift Pack" Now Available!,2022-02-08
February NM Gacha Tix,2022-02-01
February 2022 Calendar Wallpaper!,2022-01-31
Win LR Accessory!? "Traditional Jewelry Gacha" Arrives!,2022-01-29
Couple Drive Fes Starts!,2022-01-28
Step-Up Style "Winter Gacha" Now Available!,2022-01-27
New Event "Steamy Onsen Ruckus ～Part 2～" Starts!,2022-01-26
January 19 update details!,2022-01-19
A RT Campaign to celebrate our 1st round of voice additions is starting!,2022-01-19
December Screenshot Contest Starts!,2022-01-19
【1/19Update】You might get rich?! "Alchemia Lottery" now available,2022-01-19
【17:20 Update】Notice: Temporary disconnection,2022-01-13
[1/12 update]New Event "Steamy Onsen Ruckus～Part 1～" Starts!,2022-01-12
「Steamy Hot Spring Tour Gacha」,2022-01-12
Increased MATK!  "Magical Angels  Gacha" Now Available!,2022-01-07
【1/6 Edit】New Year’s Holiday Campaign Pt 2 Starts!,2022-01-06
Crimson Super Star Gacha,2022-01-06
Legendary Fest Gacha,2022-01-03
Cat Gacha,2022-01-02
Blessed Emperor Gacha,2022-01-02
January NM Gacha Tix,2022-01-01
【1/5 Edit】New Event "The Sun Goddess' Blessing" Starts!,2022-01-01
Step-Up Style "New Year's Gacha" Is Here!,2022-01-01
Happy New Year!,2022-01-01
"Lucky Bags" Now Available!,2022-01-01
L Fest Gacha Tix2,2021-12-31
L Fest x10 Gacha Tix2,2021-12-31
Changed the element of monsters in the Team VS Battle.,2021-12-29
【12/24 Update】We've extended the deadline for buying Alchemia Story merch!,2021-12-24
Shine! Spotlight Gacha,2021-12-24
Step-Up Style "Xmas Special Gacha" Is Here!,2021-12-24
[Xmas Pack & Gift] Now Available!,2021-12-24
January 2022 Calendar Wallpaper!,2021-12-24
